dotaz,zamer,shluk,objem,zdroj_objemu,pokryti,priorita,cilova_adresa,poznamka
jména která fungují i v cizině,rozhodovaci,vyber-pro-dite,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,12,,"data pro to máme (vCizine), stránka ne"
jméno bez háčků a čárek,rozhodovaci,vyber-pro-dite,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,12,,"praktický dotaz rodičů, kteří žijí v zahraničí"
jména sourozenců která k sobě ladí,rozhodovaci,sourozenci,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,10,,
jméno pro psa na písmeno,rozhodovaci,vyber-pro-zvire,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,10,,"vrhové písmeno u chovatelských stanic — filtr to umí, stránka chybí"
jméno k příjmení Novák,rozhodovaci,jmeno-a-prijmeni,neznamy,zadny-nastroj-hledanosti-k-dispozici,slaba,9,/jmeno-k-prijmeni,"nástroj to umí, ale stránka pro konkrétní příjmení není — a plošně je generovat NEBUDEME (doorway)"
jméno k sourozenci,rozhodovaci,sourozenci,neznamy,zadny-nastroj-hledanosti-k-dispozici,slaba,7.5,/rodina,rodinný profil je noindex — potřebuje veřejnou vstupní stránku
jméno pro psa které se dobře volá,rozhodovaci,vyber-pro-zvire,neznamy,zadny-nastroj-hledanosti-k-dispozici,slaba,7.5,/vybrat-jmeno-pro-zvire,"logika volatelnosti v kódu je, na stránce není vidět"
druhé jméno pro dítě,pruzkumny,jmeno-a-prijmeni,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,7.2,,"nástroj umí druhé jméno, článek chybí"
kdy se rozhodnout pro jméno dítěte,pruzkumny,rozhodovani,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,7.2,,navazuje na matriční lhůty
lituje někdo jména svého dítěte,pruzkumny,rozhodovani,neznamy,zadny-nastroj-hledanosti-k-dispozici,chybi,7.2,,článek o prevenci lítosti — zatím nenapsaný
